Ulasan,AMBIENCE#GENERAL,DRINK#QUALITY,FOOD#QUALITY,RESTAURANT#GENERAL,SERVICE#GENERAL
The staff are friendly and the decor was ethic and colorful.,positive,,,,positive
"The food is here is incredible, though the quality is inconsistent during lunch.",,,negative,,
The only drawback is the crowded seating and the slow service.,,,,,negative
There have been several occasions when we've just not gotten some side dishes we've ordered.,,,,,negative
"However, this place is a gem, and I won't stop going back.",,,,positive,
My first time to dine at this restaurant was with my son and it was absolutely horrible!,,,,negative,
I swore never to return for a warm beer and mediocre meal.,,,negative,,
The band was very good and the service was attentive.,positive,,,,positive
It was like dining at a completely different restaurant.,,,,positive,
"We have since returned and also had a great experience, sampling more small plates and a variety of the beer ( cold and good).",,,,positive,
"We did have the same waiter the second time, so maybe the service is spotty and our luck is good.",,,,,positive
Sunday afternoons there is a band playing and it is lots of fun.,positive,,,,
The sommelier is fantastic & extremely knowlegable.,,,,,positive
I would go back for the wine experience alone.,,,,,
NOT THE PLACE IT ONCE WAS,,,,negative,
What may be interesting to most is the worst sevice/attitude comes from the owners of this establishment.,,,,,negative
This is sad for what once was one of the best places you could ever eat.,,,,negative,
I hope one day Scooner or Later returns to what it once was.,,,,negative,
Open & Cool Place with the Best Pizza and Coffee,positive,,positive,,
Great open and friendly ambience.,positive,,,,
This place is charming and relaxing.,positive,,,,
The servers behind the counter are always friendly and helpful.,,,,,positive
It's a great place to enjoy food and meet friends.,,,positive,,
After 12 years in Seattle Ray's rates as the place we always go back to.,,,,positive,
Food was good and cheap.,,,positive,,
"It was so much though that I could barely finish but I did, since it was delicious.",,,positive,,
Atmosphere was nice.,positive,,,,
"Service was kind of slow, our waitress took forever to give us our check even though it wasn't that busy.",,,,,negative
Still I would recommend this place.,,,,positive,
WHAT ELSE CAN YOU SAY NICE PEOPLE AMAZING FOOD WOW,,,positive,positive,positive
Great food with an awesome atmosphere!,positive,,positive,,
and the waiter suggested a perfect sake!!,,,,,positive
absolutely fabulous!!!,,,,positive,
Unbeatable sushi!,,,positive,,
"I can't say enough good things about this restaurant, and I can't wait for my next several visits.",,,,positive,
"Good Sushi, High Price ",,,positive,,
One of the best Sushi place in town.,,,,positive,
A cozy spot for 2,positive,,,,
"That's a huge compliment, especially in the fickled restaurant business, ...enough already!",,,,positive,
"Brunch at Murphy's is to die for, my specialty... egg white omelet, the food is always freshly prepared.",,,positive,,
It's the perfect spot for a romantic date for 2 or a secret rendezvous!,positive,,,,
The restaurant offers an extensive wine list and an ambiance you won't forget!,positive,,,,
"I guarantee you won't be disappointed, there's also valet parking.",,,,positive,
Best Mexican place for lunch in the financial district.,,,,positive,
"Can get busy on Fridays for a table but once seated, the service is so efficient you can be in and out of there quickly.",,,,,positive
I went there with a friend from out of town... and we were both very impressed!,,,,positive,
The atmosphere was just okay.,positive,,,,
"Space was limited, but the food made up for it.",,,positive,,
I'd go back there in a heartbeat.,,,,positive,
Well I guess it's hard to be seated when one is invisible to the staff.,,,,,negative
We stood there for 10 minutes while employees walked back and forth ignoring us.,,,,,negative
"Finally, my wife stood face to face in front of one of the staff and she asked, ""Are you waiting for a table?""",,,,,negative
The Caesar salad I ordered had so much lemon I couldn't eat it.,,,negative,,
"Great food, better Margaritas!",,positive,positive,,
"This is one of my top lunch spots, huge portions, fast service and amazing margaritas!!",,,,positive,positive
"Check out the art on the walls, very colorful!",positive,,,,
i love this place!,,,,positive,
i have been eating at this place for over 8 years now and i have never had one bad meal.,,,positive,,
i highly recommend this place to all that want to try indain food for the first time.,,,positive,,
"Best food, phenominal service ",,,positive,,positive
The nicest waiters in town.,,,,,positive
WAY OVERRATED!!!!,,,,negative,
This place is unbelievably overrated.,,,,negative,
"There is only one place on the east coast that has it all, plus a lot more.",,,,positive,
Bring your cell phone cause you may have to wait to get into the best sushi restaurant in the world: BLUE RIBBON SUSHI.,,,,positive,
"It's fresh, welcoming, delicious, and relaxing.",positive,,positive,,
"Hands down, the best tuna I have ever had.",,,positive,,
Blue Ribbon lives up to it's fantastic reputation.,,,,positive,
I went here on a recommendation and will surely return time and time again.,,,,positive,
Great value sushi with high quality & nice setting.,positive,,positive,,
Poor customer service/poor pizza.,,,negative,,negative
"As with most restaurants in Seattle, Mioposto's service was bad and the food was overpriced.",,,,,negative
"To be honest, I've had better frozen pizza.",,,negative,,
The only positive thing about Mioposto is the nice location.,,,,negative,
"I was frankly shocked when I read the bad reviews  this place is fantastic; it has not let us down in any way, and we've eaten here more than 10 times.",,,,positive,
"The food is fantastic, and the waiting staff has been perfect every single time we've been there.",,,positive,,positive
Never had one single problem there.,,,,positive,
"The food is good, especially their more basic dishes, and the drinks are delicious.",,positive,positive,,
The cream cheeses are out of this world and I love that coffee!!,,positive,positive,,
(Always ask the bartender for the SEASONAL beer!!!,,positive,,,
"A cool bar with great food, and tons of excellent beer.",positive,positive,positive,,
Worst drink.,,negative,,,
bottles of wine are cheap and good.,,positive,,,
This was  great dining experience.,,,,positive,
"If you're going to see Danny Gans or just staying at the Mirage, don't miss this one.",,,,positive,
COMPLETELY OVERRATED!,,,,negative,
"Even then, the order was not correct and we were still waiting for a couple items.",,,,,negative
AVOID THE PLACE,,,,negative,
Save yourself the waste of time & DO NOT visit.,,,,negative,
When I got there I sat up stairs where the atmosphere was cozy & the service was horrible!,positive,,,,negative
I waited for 1015 minutes for service ordered a beer & was never served again.,,,,,negative
We left without ever getting service.,,,,,negative
Best Crab Cakes in Town,,,positive,,
"Great seasonal fish and seafood, with a classy waterfront setting.",positive,,positive,,
Always a winner.,,,,positive,
"Great Pizza, Poor Service",,,positive,,negative
"Love their pizza, especially the mushroom pizza.",,,positive,,
Also love their caeser salad.,,,positive,,
"Prefer to order it and pick it up though because I don't like the servers, one young woman in particular.",,,,,negative
She doesn't make you feel welcome and treats you like an annoyance.,,,,,negative
"But she is very friendly with certain people, making it even more annoying.",,,,,negative
Management should really take notice and train their staff and teach them some proper manners.,,,,,negative
"Many people talk about the great pizza and poor service, so it can't just be the rantings of a few dissatisfied customers.",,,positive,,negative
The have a great cocktail with Citrus Vodka and lemon and lime juice and mint leaves that is to die for!,,positive,,,
Service was best,,,,,positive
"Excellent food, nice ambience, fairly expensive",positive,,positive,,
It's a great little place with tons of potential to be a neighborhood joint if the service weren't so impersonal and corporatelike.,,,,positive,negative
You can easily hear him though so it was a pleasant sound and not overbearing.,positive,,,,
the ambiance of the restaurant was nice and good for fine dinning.,positive,,,,
not too fine thought that you feel uncomfortable and have to dress up.,positive,,,,
the staff was very nice and courteous and obviously chinese.,,,,,positive
we are for sure coming back to this restaurant.,,,,positive,
Another plus is the open feel of the restaurant with glass walls on all sides.,positive,,,,
Always good.,,,,positive,
6pm on a Sat before a Broadway play and we were quickly seated and served.,,,,,positive
Amazing Spanish Mackeral special appetizer and perfect box sushi,,,positive,,
Green tea creme brulee gets better each time I have it.,,,positive,,
Very poor customer service.,,,,,negative
We shared the family platter and I especially enjoyed the black cod in sake kasu.,,,positive,,
And the service was simply spendid  quite a delight.,,,,,positive
Great Breakfast,,,positive,,
The service is fantastic at this fun place.,,,,positive,positive
"The music is great, no night better or worse, the bar tenders are generous with the pouring, and the lighthearted atmosphere will lifts you spirits.",positive,,,,
Drinks were bad,,negative,,,
Unless you are just stopping in for a few drinks I wouldn't recommend going here.,,positive,,negative,
"Oh, and the cheese fries are awesome!",,,positive,,
"Good Food, Great Service, Average Prices (For the Strip)",,,positive,,positive
"When I walked in, I was taken aback by their incredible wood decor.",positive,,,,
The desert was the perfect ending to an almost perfect dinner.,,,positive,,
But the servers were extremely attentive and very friendly.,,,,,positive
"Overall, I would go back and eat at the restaurant again.",,,,positive,
"good sake, good food i honestly don't know much about japanese food at all.",,,positive,,
Server made several sake suggestions which were very good.,,,,,positive
had many dishes but the BEST was the lobster 3 ways.,,,positive,,
The waiter was a bit unfriendly and the feel of the restaurant was crowded.,negative,,,,negative
"I've always found the wait staff and, if you sit at the bar, the cooks very friendly.",,,,,positive
I also really enjoy the simplicity of the decor and intimate feeling of a small restaurant.,positive,,,,
My husband and I love eating at Mioposto.,,,,positive,
You never feel icky and stuffed after you eat there.,,,positive,,
"Had to wait thirty minutes to get in the door on a tuesday morning, but it was so worth it.",,,,positive,
The food is sinful.,,,positive,,
The staff was really friendly.,,,,,positive
The atmosphere was great.,positive,,,,
I don't know why anyone would want to write a great review about this place.,,,,negative,
"I have been to this place, folks and it is BAD.",,,,negative,
Maybe it is good for that one night once in a blue moon when the chefs decide to use fish that's halfway decent.,,,negative,,
"I have been here, spent tons of money on a chef special dinner and it was a major dissappointment.",,,negative,,
The atmosphere is great for any special occasion you might want to celebrate.,positive,,,,
The best dish are the honwy walnut prawns just outstanding.,,,positive,,
The service is really attentive and charming.,,,,,positive
We waited for an hour to be seated.,,,,,negative
"The service was excellent, the coffee was good even by starbucks standards and the food was outstanding.",,,positive,,positive
It was worth the wait.,,,,positive,
Will definitely be back.,,,,positive,
I recently had the pleasure of dining as this delightful restaurant on 2nd street and wow what a great evening we had.,,,,positive,
"The food is fantastic, authentic, delicious and very, very affordable.",,,positive,,
The decor was beautiful and unique.,positive,,,,
"There was a really nice vibe about the place, good music, atmosphere and happy looking people.",positive,,,,
Our server was very professional and friendly.,,,,,positive
"Once you're inside, the real experience begins.",,,,positive,
"Everything, and I mean everything on the menu is delectable.",,,positive,,
The waiters are very experienced and helpful with pairing your drink choice to your food tastes or vice versa.,,,,,positive
Food was good and appetizing.,,,positive,,
"The appetizer was interesting, but the Creme Brulee was very savory and delicious.",,,positive,,
Indoor ambience was modern.,positive,,,,
"If it's nice outside, request for a table in the balcony.",positive,,,,
Although the service could be improved considering the money you put in.,,,,,negative
Our drinks kept coming but our server came by a couple times.,,,,,positive
Late night dinning with exeptional food.,,,positive,,
"We were seated right away, the table was private and nice.",positive,,,,positive
The service was exceptional  sometime there was a feeling that we were served by the army of friendly waiters.,,,,,positive
"The food was very good, filet mignon was probably the best I've ever try.",,,positive,,
Groovy music made the dinner casual.,positive,,,,
This place rocks!!,,,,positive,
"Mercedes restaurant is so tasty, the service is undeniably awesome!",,,positive,,positive
"The atmosphere is aspiring, and  the decor is festive and amazing..",positive,,,,
"The catering is out of this world, and Raouls chicken vegetable soup rocks my world!!!",,,positive,,
I rejected it because in the process of attempting to fix the eggs they broke something else in the dish and I was too frustrated to continue.,,,negative,,
To their credit they removed the dish from the check; but no manager stopped by to ask what the problem was.,,,,,positive
Much more than just a great view!,,,,positive,
Imagine my happy surprise upon finding that the views are only the thirdbest thing about Ray's!,,,,positive,
"To start things off, our lovely server Brooke was quickly on hand to take my drink order.",,,,,positive
The scallops are apparently cooked in a black olive butter which really makes them unique (not to mention tasty).,,,positive,,
My friend enjoyed the grilled Alaskan King Salmon with delectable creamed Washington russet potatoes and crisp green beans.,,,positive,,
"I had a taste of all three items on her plate, and they were superb.",,,positive,,
"All considered, I have to say that Ray's Boathouse is deserving of its title as a Seattle institution.",,,,positive,
"I have eaten at Saul, many times, the food is always consistently, outrageously good.",,,positive,,
Saul is the best restaurant on Smith Street and in Brooklyn.,,,,positive,
"Food was okay, nothing great.",,,positive,,
"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",,,positive,,positive
"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",positive,,positive,,positive
I had the duck breast special on my last visit and it was incredible.,,,positive,,
"The food is very average. the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",,,negative,,
The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,,,positive,,
"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",,,positive,,
We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,,,,,positive
Food awesome.,,,positive,,
Service friendly and attentive.,,,,,positive
Ambiance relaxed and stylish.,positive,,,,
"however, it's the service that leaves a bad taste in my mouth.",,,,,negative
"i happen to have a policy that goes along with a little bit of selfrespect, which includes not letting a waiter intimidate me, make me feel bad asking for trivialities like water, or the check.",,,,,negative
the drinks are amazing and half off till 8pm.,,positive,,,
Always good drinks and service is pretty good;,,positive,,,positive
"Interesting selection, good wines, service fine, fun decor.",positive,positive,,,positive
"The drinks are great, especially when made by Raymond.",,positive,,,positive
Food is great.,,,positive,,
Service is top notch.,,,,,positive
The food was well prepared and the service impecable.,,,positive,,positive
I'm going back.,,,,positive,
"I am not a vegetarian but, almost all the dishes were great.",,,positive,,
"The food here is rather good, but only if you like to wait for it.",,,positive,,negative
The service varys from day to day sometimes they're very nice.,,,,,positive
"The kitchen however, is almost always slow.",,,,,negative
"Also, specify if you like your food spicy its rather bland if you don't.",,,negative,,
even the wine by the glass was bad.,,negative,,,
"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",positive,,,,
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,,,positive,,positive
"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.",positive,,,,
"However, go for the ambience, and consider the food just a companion for a trip across the world!",positive,,positive,,
IT WAS HORRIBLE.,,,,negative,
The pizza was delivered cold and the cheese wasn't even fully melted!,,,negative,,
This has got to be one of the most overrated restaurant in Brooklyn.,,,,negative,
The pizza is overpriced and soggy.,,,negative,,
"Yes, they use fancy ingredients, but even fancy ingredients make for worst pizza unless someone knows how to get the crust right.",,,negative,,
"A very dissapointment trip, all around.",,,,negative,
The worth restaurant from Manhattan.,,,,positive,
My wife had the fried shrimp which are huge and loved it.,,,positive,,
"The signs, the special menu, the special food, and even all the wait staff are ALL TOTALLY Japanese.",,,positive,,positive
This place is worth an one hour drive.,,,,positive,
"I am so coming back here again, as much as I can.",,,,positive,
"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, the good menu, a warm and cozy atmosphere.",positive,,positive,,
"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff is friendly, all of whom have a story.",,,,,positive
Have been dozens of times and never failed to enjoy the experience.,,,,positive,
This is by far my favorite restaurant in the neighborhood.,,,,positive,
"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",positive,,positive,,positive
They refuse to seat parties of 3 or more on weekends.,,,,,negative
The staff is rude to the point of being offensive.,,,,,negative
"We have been to this place many times, and always have great food, great wine, and great service.",,,positive,positive,positive
"We were worried we would have trouble getting in, but somehow managed to have a short wait.",,,,,positive
"When we sat, we got great and fast service.",,,,,positive
The people that work there are always so friendly you forget you are in New York sometimes.,,,,,positive
Make sure you try this great place as often as you can.,,,,positive,
This is a amazing restaurant to go to.,,,,positive,
The pizza is delicious and I like the great atmoshpere.,positive,,positive,,
I went there for lunch and the place was not as good as I expected from the reviews I read.,,,negative,,
Sauce was watery and the food was not great at all.,,,negative,,
I don't think I would not go back again.,,,,negative,
This place restaurant is great.,,,,positive,
"This is one of my top lunch spots, huge portions, fast service and amazing margaritas!!",,positive,,positive,positive
The waitress was very patient with us and the food is phenomenal!,,,positive,,positive
"Service was prompt, friendly and great.",,,,,positive
Great pizza and fantastic service.,,,positive,,positive
"There was a small wait, but shorter than I expected.",,,,,positive
Very cozy and warm inside.....,positive,,,,
I will go back!,,,,positive,
I've been there three times and have always had wonderful experience.,,,,positive,
I'd highly recommend it for a special occasion  it provides and intimate setting and nice service.,positive,,,,positive
great beer,,positive,,,
I swore never to return for a warm beer and mediocre meal.,,negative,negative,,
I would go back for the wine experience alone.,,positive,,,
Make sure you have the Spicy Scallop roll.. .,,,positive,,
Downstairs lounge is always a good attraction,positive,,,,
"Raga's is a romantic, cozy restaurant.",positive,,,,
The exotic food is beautifully presented and is a delight in delicious combinations.,,,positive,,
The staff is incredibly helpful and attentive.,,,,,positive
This is one of my favorite restaurant.,,,,positive,
"Rude and worst service, bad food, there are tons of restaurants in NY, stay away from this one",,,negative,negative,negative
I had a grat time at Jekyll and Hyde!,,,,positive,
Our server was very helpful and friendly.,,,,,positive
Service was prompt and courteous.,,,,,positive
This was a repeat visit and we'll definitely be back again.,,,,positive,
"Great service, great food.",,,positive,,positive
rude staff is blantently unappreciative of your business but its the best pie on the UWS!,,,positive,,negative
"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional was warm.",,,positive,,positive
"With so many poor experiences to be had in the theater district, is truly an excellent find!",,,,positive,
The staff is no nonsense.,,,,,positive
Try the lobster teriyaki and the rose special roll.,,,positive,,
"Service was very good  prompt, attentive and nonintrusive.",,,,,positive
The decor is vibrant which are great for a date.,positive,,,,
I have NEVER been disappointed in the Red Eye.,,,,positive,
"The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad.",positive,,,,
It's simply the best meal in NYC.,,,positive,,
You cannot go wrong at the Red Eye Grill.,,,,positive,
Cozy place with the Best Pizza and the best Coffee,positive,positive,positive,,
"The coffe is very good, too.",,positive,,,
"Great drinks , corn beef hash, coffee, B Fast burritos, Gluten Free menu.",,positive,positive,,
The server was really great and served us our food and drinks with a smile.,,,,,positive
The place's decor and hidden bathrooms made for a good laugh.,positive,,,,
"I didn't complain, I liked the atmosphere so much.",positive,,,,
"Ambience is so cute and quaint, good for business although we were there on vacation.",positive,,,,
it is not great bottle of wine.,,negative,,,
The atmosphere is worst and the waiters are literally walking around doing things as fast as they can.,negative,,,,positive
"The staff was accomodating, the food was absolutely delicious and the place is amazing.",positive,,positive,,positive
"The food is wonderful, tasty and filling, and the service is professional and friendly.",,,positive,,positive
bad staff,,,,,negative
I generally like this place.,,,,positive,
The food is good.,,,positive,,
The design of the place is good.,positive,,,,
Don't go to this place!,,,,negative,
Had an awful experience at Casa la Femme on a Saturday dinner.,,,,negative,
Appetizers took nearly an hour.,,,,,negative
The manager was rude and handled the situation extremely poorly.,,,,,negative
it was really good pizza.,,,positive,,
the crust was amazingly cooked well and pizza was fully loaded :):):),,,positive,,
Single Worst Restaurant in Manhattan,,,,negative,
"I'll being with a couple of positives: cool decor, good pita and hummus, and grilled octopus that was actually pretty tasty.",positive,,positive,,
I HAVE NEVER EVER HAD SUCH AN UNPLEASANT EXPERIENCE.,,,,negative,
THIS STAFF SHOULD BE FIRED.,,,,,negative
"All in all the food was good - a little on the expensive side, but fresh. ",,,positive,,
"Service not the friendliest to our ""large party""! ",,,,,negative
Probably would not go back here.,,,,negative,
Great Indian food,,,positive,,
"great food, great wine list, great service in a great neighborhood...",,positive,positive,,positive
so delicious!!!!!!,,,positive,,
"Great place, great value.",,,,positive,
"The food is flavorful, plentiful and reasonably priced.",,,positive,,
The atmosphere is relaxed and casual.,positive,,,,
Best restaurant in Brooklyn,,,,positive,
"Great food, amazing service, this place is a class act.",,,positive,positive,positive
Decor needs to be upgraded but the food is amazing!,negative,,positive,,
The staff is very good.,,,,,positive
